,구,오염물질,월,평균값
870,마포구,CO,07,0.31698369565217394
871,마포구,CO,08,0.3388888888888889
872,마포구,CO,09,0.32784810126582276
873,마포구,CO,10,0.41678420310296194
874,마포구,CO,11,0.5586255259467041
875,마포구,CO,12,0.5702849389416553
876,마포구,NO2,01,0.035788124156545205
877,마포구,NO2,02,0.03422488755622189
878,마포구,NO2,03,0.03831891891891892
879,마포구,NO2,04,0.025327272727272726
880,마포구,NO2,05,0.023244264507422403
881,마포구,NO2,06,0.021873417721518986
882,마포구,NO2,07,0.01863451086956522
883,마포구,NO2,08,0.016845528455284555
884,마포구,NO2,09,0.015587904360056259
885,마포구,NO2,10,0.026390691114245413
886,마포구,NO2,11,0.036600280504908836
887,마포구,NO2,12,0.03529308005427408
888,마포구,O3,01,0.012097165991902834
889,마포구,O3,02,0.018749625187406298
890,마포구,O3,03,0.021525675675675676
891,마포구,O3,04,0.033327272727272726
892,마포구,O3,05,0.032139001349527664
893,마포구,O3,06,0.03857082748948107
894,마포구,O3,07,0.03920652173913044
895,마포구,O3,08,0.034077235772357724
896,마포구,O3,09,0.03370182841068917
897,마포구,O3,10,0.024119887165021156
898,마포구,O3,11,0.017514285714285715
899,마포구,O3,12,0.013632293080054274
900,마포구,PM10,01,0.033312849162011174
901,마포구,PM10,02,0.044234493192133136
902,마포구,PM10,03,0.062062415196743555
903,마포구,PM10,04,0.03896918767507003
904,마포구,PM10,05,0.05644097693351425
905,마포구,PM10,06,0.031116901408450703
906,마포구,PM10,07,0.024228142076502732
907,마포구,PM10,08,0.02116010854816825
908,마포구,PM10,09,0.014988684582743989
909,마포구,PM10,10,0.026853693181818183
910,마포구,PM10,11,0.040990182328190745
911,마포구,PM10,12,0.03321584699453552
912,마포구,PM2.5,01,0.020189445196211096
913,마포구,PM2.5,02,0.02989655172413793
914,마포구,PM2.5,03,0.03177266576454669
915,마포구,PM2.5,04,0.017932773109243696
916,마포구,PM2.5,05,0.0177
917,마포구,PM2.5,06,0.018992957746478873
918,마포구,PM2.5,07,0.014224657534246576
919,마포구,PM2.5,08,0.011895663956639567
